Date,Geography,DelinquencyRate
2013-10-01,Saskatchewan,0.32
2013-10-01,Alberta,0.43
2013-10-01,British Columbia,0.43
2013-10-01,St. John's,0.15
2013-10-01,Charlottetown,0.48
2013-10-01,Halifax,0.44
2013-10-01,Moncton,0.65
2013-10-01,Saint John,0.80
2013-10-01,Saguenay,0.23
2013-10-01,Québec City,0.18
2013-10-01,Sherbrooke,0.31
2013-10-01,Trois-Riviéres,0.43
2013-10-01,Montréal,0.33
2013-10-01,Ottawa-Gatineau,0.25
2013-10-01,Kingston,0.28
2013-10-01,Peterborough,0.27
2013-10-01,Oshawa,0.27
2013-10-01,Toronto,0.20
2013-10-01,Hamilton,0.27
2013-10-01,St. Catharines-Niagara,0.52
2013-10-01,Kitchener-Cambridge-Waterloo,0.27
2013-10-01,Brantford,0.40
2013-10-01,Guelph,0.15
2013-10-01,London,0.35
2013-10-01,Windsor,0.40
2013-10-01,Barrie,0.37
2013-10-01,Greater Sudbury,0.30
2013-10-01,Thunder Bay,0.29
2013-10-01,Winnipeg,0.22
2013-10-01,Regina,0.27
2013-10-01,Saskatoon,0.27
2013-10-01,Calgary,0.38
2013-10-01,Edmonton,0.41
2013-10-01,Kelowna,0.59
2013-10-01,Abbotsford-Mission,0.60
2013-10-01,Vancouver,0.31
2013-10-01,Victoria,0.36
2014-01-01,Canada,0.37
2014-01-01,Newfoundland,0.23
2014-01-01,Prince Edward Island,0.60
2014-01-01,Nova Scotia,0.65
2014-01-01,New Brunswick,0.72
2014-01-01,Québec,0.37
2014-01-01,Ontario,0.29
2014-01-01,Manitoba,0.28
2014-01-01,Saskatchewan,0.35
2014-01-01,Alberta,0.42
2014-01-01,British Columbia,0.43
2014-01-01,St. John's,0.17
2014-01-01,Charlottetown,0.49
2014-01-01,Halifax,0.43
2014-01-01,Moncton,0.69
2014-01-01,Saint John,0.76
2014-01-01,Saguenay,0.22
2014-01-01,Québec City,0.18
2014-01-01,Sherbrooke,0.30
2014-01-01,Trois-Riviéres,0.38
2014-01-01,Montréal,0.35
2014-01-01,Ottawa-Gatineau,0.27
2014-01-01,Kingston,0.26
2014-01-01,Peterborough,0.31
2014-01-01,Oshawa,0.25
2014-01-01,Toronto,0.22
2014-01-01,Hamilton,0.29
2014-01-01,St. Catharines-Niagara,0.51
2014-01-01,Kitchener-Cambridge-Waterloo,0.29
2014-01-01,Brantford,0.42
2014-01-01,Guelph,0.18
2014-01-01,London,0.32
2014-01-01,Windsor,0.40
2014-01-01,Barrie,0.37
2014-01-01,Greater Sudbury,0.30
2014-01-01,Thunder Bay,0.31
2014-01-01,Winnipeg,0.23
2014-01-01,Regina,0.31
2014-01-01,Saskatoon,0.28
2014-01-01,Calgary,0.34
2014-01-01,Edmonton,0.44
2014-01-01,Kelowna,0.61
2014-01-01,Abbotsford-Mission,0.65
2014-01-01,Vancouver,0.31
2014-01-01,Victoria,0.39
2014-04-01,Canada,0.34
2014-04-01,Newfoundland,0.25
2014-04-01,Prince Edward Island,0.60
2014-04-01,Nova Scotia,0.65
2014-04-01,New Brunswick,0.67
2014-04-01,Québec,0.36
2014-04-01,Ontario,0.27
2014-04-01,Manitoba,0.25
2014-04-01,Saskatchewan,0.31
2014-04-01,Alberta,0.37
2014-04-01,British Columbia,0.40
2014-04-01,St. John's,0.20
2014-04-01,Charlottetown,0.41
2014-04-01,Halifax,0.47
2014-04-01,Moncton,0.59
2014-04-01,Saint John,0.87
2014-04-01,Saguenay,0.26
2014-04-01,Québec City,0.20
2014-04-01,Sherbrooke,0.33
2014-04-01,Trois-Riviéres,0.39
2014-04-01,Montréal,0.34
2014-04-01,Ottawa-Gatineau,0.27
2014-04-01,Kingston,0.29
2014-04-01,Peterborough,0.32
2014-04-01,Oshawa,0.24
2014-04-01,Toronto,0.19
2014-04-01,Hamilton,0.26
2014-04-01,St. Catharines-Niagara,0.47
2014-04-01,Kitchener-Cambridge-Waterloo,0.25
2014-04-01,Brantford,0.36
2014-04-01,Guelph,0.18
2014-04-01,London,0.33
2014-04-01,Windsor,0.34
2014-04-01,Barrie,0.31
2014-04-01,Greater Sudbury,0.30
2014-04-01,Thunder Bay,0.25
2014-04-01,Winnipeg,0.20
2014-04-01,Regina,0.26
2014-04-01,Saskatoon,0.25
2014-04-01,Calgary,0.30
2014-04-01,Edmonton,0.37
2014-04-01,Kelowna,0.55
2014-04-01,Abbotsford-Mission,0.66
2014-04-01,Vancouver,0.30
2014-04-01,Victoria,0.37
2014-07-01,Canada,0.34
2014-07-01,Newfoundland,0.26
2014-07-01,Prince Edward Island,0.56
2014-07-01,Nova Scotia,0.67
2014-07-01,New Brunswick,0.72
2014-07-01,Québec,0.37
2014-07-01,Ontario,0.27
2014-07-01,Manitoba,0.24
2014-07-01,Saskatchewan,0.32
2014-07-01,Alberta,0.34
2014-07-01,British Columbia,0.40
2014-07-01,St. John's,0.22
2014-07-01,Charlottetown,0.34
2014-07-01,Halifax,0.47
2014-07-01,Moncton,0.68
2014-07-01,Saint John,0.86
2014-07-01,Saguenay,0.26
2014-07-01,Québec City,0.19
2014-07-01,Sherbrooke,0.38
